Gmt time,Open,High,Low,Close,Volume
29.10.2020 00:00:00.000,1.17486,1.17510,1.17441,1.17506,4765.599999999999
29.10.2020 00:10:00.000,1.17505,1.17528,1.17499,1.17526,4073.1700000000005
29.10.2020 00:20:00.000,1.17527,1.17562,1.17526,1.17539,3743.54
29.10.2020 00:30:00.000,1.17539,1.17548,1.17512,1.17512,3658.34
29.10.2020 00:40:00.000,1.17512,1.17551,1.17511,1.17542,3351.6400000000003
29.10.2020 00:50:00.000,1.17542,1.17567,1.17490,1.17517,5652.300000000001
29.10.2020 01:00:00.000,1.17517,1.17524,1.17496,1.17522,4989.4
29.10.2020 01:10:00.000,1.17522,1.17542,1.17521,1.17525,3811.88
29.10.2020 01:20:00.000,1.17524,1.17526,1.17479,1.17480,1310.7499999999998
29.10.2020 01:30:00.000,1.17481,1.17528,1.17481,1.17527,2915.5200000000004
29.10.2020 01:40:00.000,1.17526,1.17537,1.17515,1.17526,3727.2099999999996
29.10.2020 01:50:00.000,1.17527,1.17589,1.17522,1.17571,5508.07
29.10.2020 02:00:00.000,1.17572,1.17584,1.17529,1.17536,3227.49
29.10.2020 02:10:00.000,1.17536,1.17545,1.17526,1.17537,3320.8900000000003
29.10.2020 02:20:00.000,1.17534,1.17559,1.17527,1.17557,2484.2500000000005
29.10.2020 02:30:00.000,1.17558,1.17574,1.17556,1.17559,1651.66
29.10.2020 02:40:00.000,1.17558,1.17563,1.17536,1.17540,2469.94
29.10.2020 02:50:00.000,1.17539,1.17539,1.17478,1.17479,2110.39
29.10.2020 03:00:00.000,1.17481,1.17485,1.17454,1.17463,1827.3700000000001
29.10.2020 03:10:00.000,1.17462,1.17475,1.17443,1.17465,3007.48
29.10.2020 03:20:00.000,1.17464,1.17526,1.17454,1.17521,3942.57
29.10.2020 03:30:00.000,1.17520,1.17532,1.17505,1.17508,3837.6000000000004
29.10.2020 03:40:00.000,1.17508,1.17518,1.17483,1.17496,2985.66
29.10.2020 03:50:00.000,1.17496,1.17527,1.17490,1.17526,2557.81
29.10.2020 04:00:00.000,1.17526,1.17552,1.17524,1.17547,3190.3
29.10.2020 04:10:00.000,1.17546,1.17550,1.17514,1.17526,2267.5699999999997
29.10.2020 04:20:00.000,1.17526,1.17547,1.17520,1.17547,1636.6699999999996
29.10.2020 04:30:00.000,1.17546,1.17552,1.17519,1.17552,1937.7199999999998
29.10.2020 04:40:00.000,1.17552,1.17552,1.17512,1.17536,2221.4100000000003
29.10.2020 04:50:00.000,1.17534,1.17552,1.17525,1.17530,2443.2000000000003
29.10.2020 05:00:00.000,1.17530,1.17540,1.17506,1.17515,3065.9399999999996
29.10.2020 05:10:00.000,1.17516,1.17546,1.17504,1.17513,3003.5699999999997
29.10.2020 05:20:00.000,1.17512,1.17516,1.17495,1.17502,2367.2099999999996
29.10.2020 05:30:00.000,1.17504,1.17540,1.17494,1.17539,2674.71
29.10.2020 05:40:00.000,1.17539,1.17539,1.17502,1.17532,2479.89
29.10.2020 05:50:00.000,1.17532,1.17551,1.17519,1.17551,3491.7299999999996
29.10.2020 06:00:00.000,1.17550,1.17553,1.17511,1.17540,3759.9100000000003
29.10.2020 06:10:00.000,1.17539,1.17553,1.17521,1.17551,3505.1099999999997
29.10.2020 06:20:00.000,1.17551,1.17572,1.17540,1.17564,4720.93
29.10.2020 06:30:00.000,1.17565,1.17576,1.17555,1.17565,2698.88
29.10.2020 06:40:00.000,1.17565,1.17568,1.17540,1.17566,2993.37
29.10.2020 06:50:00.000,1.17565,1.17572,1.17541,1.17549,3179.54
29.10.2020 07:00:00.000,1.17547,1.17547,1.17428,1.17435,6047.43
29.10.2020 07:10:00.000,1.17435,1.17532,1.17424,1.17532,6730.29
29.10.2020 07:20:00.000,1.17532,1.17532,1.17495,1.17522,5979.659999999999
29.10.2020 07:30:00.000,1.17521,1.17544,1.17458,1.17541,6562.88
29.10.2020 07:40:00.000,1.17540,1.17556,1.17487,1.17489,7688.2699999999995
29.10.2020 07:50:00.000,1.17490,1.17491,1.17353,1.17365,6734.24
29.10.2020 08:00:00.000,1.17365,1.17405,1.17287,1.17335,9433.7401
29.10.2020 08:10:00.000,1.17337,1.17338,1.17257,1.17257,11257.52
29.10.2020 08:20:00.000,1.17258,1.17336,1.17250,1.17326,10945.649999999998
29.10.2020 08:30:00.000,1.17325,1.17340,1.17289,1.17329,8557.759999999998
29.10.2020 08:40:00.000,1.17329,1.17348,1.17277,1.17340,8366.619999999999
29.10.2020 08:50:00.000,1.17339,1.17340,1.17283,1.17295,6124.9599
29.10.2020 09:00:00.000,1.17294,1.17364,1.17293,1.17361,8033.330000000001
29.10.2020 09:10:00.000,1.17364,1.17387,1.17328,1.17336,7117.32
29.10.2020 09:20:00.000,1.17337,1.17373,1.17322,1.17326,6915.679999999999
29.10.2020 09:30:00.000,1.17325,1.17348,1.17284,1.17299,7410.76
29.10.2020 09:40:00.000,1.17300,1.17313,1.17250,1.17267,6167.48
29.10.2020 09:50:00.000,1.17268,1.17321,1.17238,1.17258,5084.86
29.10.2020 10:00:00.000,1.17260,1.17283,1.17224,1.17229,6938.8099999999995
29.10.2020 10:10:00.000,1.17230,1.17254,1.17212,1.17249,7879.53
29.10.2020 10:20:00.000,1.17247,1.17281,1.17229,1.17274,4960.84
29.10.2020 10:30:00.000,1.17272,1.17274,1.17210,1.17214,6764.03
29.10.2020 10:40:00.000,1.17213,1.17246,1.17197,1.17218,5568.289999999999
29.10.2020 10:50:00.000,1.17219,1.17232,1.17151,1.17175,7082.51
29.10.2020 11:00:00.000,1.17175,1.17211,1.17134,1.17153,8053.149999999999
29.10.2020 11:10:00.000,1.17152,1.17202,1.17135,1.17182,5587.95
29.10.2020 11:20:00.000,1.17183,1.17189,1.17107,1.17114,5608.4400000000005
29.10.2020 11:30:00.000,1.17114,1.17116,1.17059,1.17077,6227.840000000001
29.10.2020 11:40:00.000,1.17077,1.17114,1.17024,1.17069,6015.38
29.10.2020 11:50:00.000,1.17068,1.17095,1.17024,1.17040,8072.459999999999
29.10.2020 12:00:00.000,1.17042,1.17067,1.17002,1.17029,6490.640000000001
29.10.2020 12:10:00.000,1.17029,1.17046,1.16954,1.16964,4968.29
29.10.2020 12:20:00.000,1.16963,1.17043,1.16953,1.17030,4151.650000000001
29.10.2020 12:30:00.000,1.17029,1.17144,1.17025,1.17051,4616.66
29.10.2020 12:40:00.000,1.17052,1.17174,1.16984,1.17160,4160.47
29.10.2020 12:50:00.000,1.17157,1.17173,1.16976,1.17043,4840.15
